ranking	app_name	publisher	ranking_type	ranking_change	has_in_app_purchases	report_date
55	Rhonna Designs	Rhonna Farrer	Paid	▼5	0	2013-07-06
55	Blood Brothers (RPG)	Mobage, Inc.	Grossing	▲9	1	2013-07-06
56	Calorie Counter & Diet Tracker by MyFitnessPal	MyFitnessPal.com	Free	▲1	0	2013-07-06
56	Toca Hair Salon 2	Toca Boca AB	Paid	▲4	0	2013-07-06
56	Rdio	Rdio	Grossing	▼1	1	2013-07-06
57	Amazon Mobile	AMZN Mobile LLC	Free	▼2	0	2013-07-06
57	Pixlgun 3D - Block World Pocket Survival Shooter with Skins Maker for Minecraft (PC edition)	Alex Krasnov	Paid	▲17	1	2013-07-06
57	Scruff: Gay guys worldwide	Perry Street Software, Inc	Grossing	▲1	1	2013-07-06
58	Zombies Ate My Friends	Glu Games Inc.	Free	▼11	1	2013-07-06
58	Ultimate Guitar Tabs - largest catalog of songs with guitar chords, tabs and lyrics	Ultimate Guitar	Paid	▲1	1	2013-07-06
58	BINGO Blitz - FREE Bingo + Slots	Buffalo Studios	Grossing	▼4	1	2013-07-06
59	Audiobooks from Audible	Audible, Inc.	Free	▼10	0	2013-07-06
59	iMPC for iPhone	Akai Professional	Paid	▼8	0	2013-07-06
59	Survivalcraft	Igor Kalicinski	Grossing	=	0	2013-07-06
60	Facebook	Facebook, Inc.	Free	=	1	2013-07-06
60	Omegle	Omegle.com LLC	Paid	▲1	0	2013-07-06
60	Texas Poker	KAMAGAMES LTD	Grossing	=	1	2013-07-06
61	Shazam	Shazam Entertainment Ltd.	Free	▲1	1	2013-07-06
61	Kick the Buddy: Second Kick	Crustalli	Paid	▲1	1	2013-07-06
61	MinoMonsters	MinoMonsters, Inc.	Grossing	▼8	1	2013-07-06
62	Zombie Gunship	Limbic Software	Free	▼9	1	2013-07-06
62	TurboScan: quickly scan multipage documents into high-quality PDFs	Piksoft Inc.	Paid	▲13	0	2013-07-06
62	Bloons TD 5	Ninja Kiwi	Grossing	▼1	1	2013-07-06
63	The Dave Ramsey Show 24/7	Dave Ramsey	Free	(new)	0	2013-07-06
63	SpongeBob Moves In	Nickelodeon	Paid	▼9	1	2013-07-06
63	Dragon Story™	TeamLava	Grossing	▲5	1	2013-07-06
64	Tumblr	Tumblr	Free	▲2	0	2013-07-06
64	Map My Fitness+ - Workout Trainer for General Fitness, Running, Cycling, GPS Tracking and Calorie Counter	MapMyFitness	Paid	▲73	1	2013-07-06
64	Magic Piano by Smule	Smule	Grossing	▲1	1	2013-07-06
65	Waze Social GPS, Maps & Traffic	Waze Inc.	Free	▲17	0	2013-07-06
65	Tiny Wings	Andreas Illiger	Paid	▲2	0	2013-07-06
65	Temple Run 2	Imangi Studios, LLC	Grossing	▼2	1	2013-07-06
66	Magic Piano by Smule	Smule	Free	▼7	1	2013-07-06
66	Flick Home Run !	infinity pocket	Paid	▼3	1	2013-07-06
66	Kick the Buddy: No Mercy	Crustalli	Grossing	▲5	1	2013-07-06
67	Disney Princess Palace Pets	Disney	Free	▲42	0	2013-07-06
67	Over	Potluck	Paid	▼1	1	2013-07-06
67	Knights & Dragons (Free RPG)	GREE, Inc.	Grossing	▼1	1	2013-07-06
68	Clash of Clans	Supercell	Free	▲5	1	2013-07-06
68	SnappyCam Pro - Fast Camera for Amazing High Speed Burst Action Living Photos	jpap	Paid	▼29	0	2013-07-06
68	Smart Alarm Clock: sleep cycles & noise recording	Plus Sports	Grossing	▼12	0	2013-07-06
69	Viber	Viber Media, Inc.	Free	▲2	0	2013-07-06
69	PokéBuilder - Build a Monster Cheat - For Pokémon	Celadon Software Ltd.	Paid	▲2	1	2013-07-06
